trackid,firstposx,firstposy,firstposz,firstpost,momx,momy,momz,charge,chi2ndf,type,hitid,muonid,recox,recoy,recoz,recot
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,0,1,202.865,202.865,4.95,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,1,1,211.352,153.556,6.85,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,2,1,207.607,105.781,8.37,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,3,1,193.947,63.0173,9.89,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,4,1,173.565,27.4901,11.6,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,5,1,150.154,-0,13.12,1760
0,202.865,202.865,4.95,1760,52.0556,-169.812,-6.72648,1,0,0,6,1,104.591,-33.9837,15.97,1760
1,106.442,54.2348,127.4,3940,3.51022,80.0292,1.01409,1,0,0,0,9,106.442,54.2348,127.4,3940
1,106.442,54.2348,127.4,3940,3.51022,80.0292,1.01409,1,0,0,1,9,107.688,34.9898,120.56,3940
1,106.442,54.2348,127.4,3940,3.51022,80.0292,1.01409,1,0,0,2,9,112.503,17.8187,113.91,3940
1,106.442,54.2348,127.4,3940,3.51022,80.0292,1.01409,1,0,0,3,9,121.992,-0,106.12,3940
1,106.442,54.2348,127.4,3940,3.51022,80.0292,1.01409,1,0,0,4,9,147.722,-23.3969,90.7423,3940
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,0,2,143.733,-22.7651,82.85,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,1,2,133.285,-0,89.88,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,2,2,129.017,20.4343,95.39,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,3,2,129.291,42.0093,100.61,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,4,2,219.839,112.014,135.38,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,5,2,260.746,84.7216,148.3,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,6,2,274.543,43.4833,159.51,4995
2,143.733,-22.7651,82.85,4995,-48.4253,78.5067,-25.8234,1,0,0,7,2,260.865,-0,171.48,4995
3,104.532,143.876,43.9,5220,-5.50486,84.305,-7.35902,1,0,0,0,5,104.532,143.876,43.9,5220
3,104.532,143.876,43.9,5220,-5.50486,84.305,-7.35902,1,0,0,1,5,112.25,112.25,41.05,5220
3,104.532,143.876,43.9,5220,-5.50486,84.305,-7.35902,1,0,0,2,5,125.199,90.9627,38.58,5220
3,104.532,143.876,43.9,5220,-5.50486,84.305,-7.35902,1,0,0,3,5,143.474,73.1038,36.3,5220
3,104.532,143.876,43.9,5220,-5.50486,84.305,-7.35902,1,0,0,4,5,175.325,56.9665,33.26,5220
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,0,4,49.9526,-153.738,-19.01,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,1,4,19.9736,-126.108,-19.39,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,2,4,7.07109e-15,-115.483,-19.39,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,3,4,-17.4026,-109.875,-19.39,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,4,4,-34.8208,-107.167,-19.58,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,5,4,-54.7043,-107.363,-19.2826,8150
4,49.9526,-153.738,-19.01,8150,68.695,-88.2454,-1.03764,1,0,0,6,4,-83.1731,-114.478,-18.82,8150
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,0,4,66.2943,-204.033,9.51,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,1,4,20.03,-126.465,6.09,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,2,4,7.04424e-15,-115.045,5.52,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,3,4,-17.3431,-109.5,4.95,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,4,4,-34.7289,-106.884,4.57,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,5,4,-54.7839,-107.519,4.19,8155
5,66.2943,-204.033,9.51,8155,12.6792,-100.546,-3.72966,1,0,0,6,4,-84.0039,-115.622,3.62,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,0,-999,52.9529,-162.972,7.11862,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,1,4,21.5028,-135.763,6.09,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,2,4,7.34207e-15,-119.909,5.52,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,3,4,-17.9078,-113.066,4.95,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,4,4,-35.6683,-109.776,4.57,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,5,4,-56.3328,-110.559,4.19,8155
6,52.9529,-162.972,7.11862,8155,285.721,-271.919,-9.75242,1,0,0,6,4,-88.4646,-121.761,3.62,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,0,4,21.5028,-135.763,21.48,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,1,4,7.34207e-15,-119.909,21.48,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,2,4,-17.9078,-113.066,21.48,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,3,4,-35.6683,-109.776,21.1,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,4,4,-56.3328,-110.559,20.15,8155
7,21.5028,-135.763,21.48,8155,53.7521,-54.5581,-0,1,0,0,5,4,-88.4646,-121.761,18.44,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,0,4,-139.066,-191.407,17.3,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,1,4,-128.557,-252.307,18.25,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,2,4,20.03,-126.465,21.48,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,3,4,7.04424e-15,-115.045,21.48,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,4,4,-17.3431,-109.5,21.48,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,5,4,-34.7289,-106.884,21.1,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,6,4,-54.7839,-107.519,20.15,8155
8,-139.066,-191.407,17.3,8155,12.8911,88.7267,-0.151146,1,0,0,7,4,-84.0039,-115.622,18.44,8155
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,0,4,-88.7291,-122.125,18.06,8160
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,1,4,-57.7499,-113.34,19.39,8160
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,2,4,-37.0774,-114.113,19.96,8160
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,3,4,7.91677e-15,-129.295,21.48,8157.5
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,4,4,24.5565,-155.043,22.62,8160
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,5,4,1.70199e-14,-277.965,29.46,8160
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,6,4,-17.9078,-113.066,20.34,8157.5
9,-88.7291,-122.125,18.06,8160,68.009,34.3363,-3.12757,1,0,0,7,4,7.91677e-15,-129.295,20.72,8160
10,-89.522,-123.217,18.06,8160,64.6598,30.2438,-4.71906,1,0,0,0,4,-89.522,-123.217,18.06,8160
10,-89.522,-123.217,18.06,8160,64.6598,30.2438,-4.71906,1,0,0,1,4,-59.0039,-115.802,20.15,8157.5
10,-89.522,-123.217,18.06,8160,64.6598,30.2438,-4.71906,1,0,0,2,4,-38.2517,-117.727,21.1,8157.5
10,-89.522,-123.217,18.06,8160,64.6598,30.2438,-4.71906,1,0,0,3,4,-126.625,-248.515,18.25,8157.5
10,-89.522,-123.217,18.06,8160,64.6598,30.2438,-4.71906,1,0,0,4,4,-139.066,-191.407,18.1769,8157.5
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,0,4,-59.0039,-115.802,19.39,8160
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,1,4,-37.0774,-114.113,21.1,8157.5
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,2,4,-130.312,-255.752,15.78,8157.5
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,3,4,-87.6123,-120.588,18.06,8157.5
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,4,4,-57.7499,-113.34,20.15,8157.5
11,-59.0039,-115.802,19.39,8160,256.396,29.6712,-20.0648,1,0,0,5,4,-38.2517,-117.727,19.96,8160
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,0,4,-87.6123,-120.588,18.44,8155
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,1,4,-56.3328,-110.559,19.39,8157.5
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,2,4,-35.6683,-109.776,19.96,8157.5
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,3,4,-126.625,-248.515,15.59,8157.5
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,4,4,-84.0039,-115.622,18.06,8157.5
12,-87.6123,-120.588,18.44,8155,78.7699,40.767,-2.55318,1,0,0,5,4,-54.7839,-107.519,19.39,8157.5
13,24.5565,-155.043,40.48,8160,365.897,-285.339,-23.1564,1,0,0,0,4,24.5565,-155.043,40.48,8160
13,24.5565,-155.043,40.48,8160,365.897,-285.339,-23.1564,1,0,0,1,4,8.39059e-15,-137.033,38.96,8160
13,24.5565,-155.043,40.48,8160,365.897,-285.339,-23.1564,1,0,0,2,4,-19.6615,-124.138,38.58,8160
13,24.5565,-155.043,40.48,8160,365.897,-285.339,-23.1564,1,0,0,3,4,-37.0774,-114.113,38.01,8160
13,24.5565,-155.043,40.48,8160,365.897,-285.339,-23.1564,1,0,0,4,4,-54.7839,-107.519,37.82,8157.5
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,0,4,-122.743,-240.897,52.64,8160
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,1,4,1.70199e-14,-277.965,46.75,8160
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,2,4,-17.9078,-113.066,38.58,8157.5
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,3,4,-35.6683,-109.776,38.01,8157.5
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,4,4,-56.3328,-110.559,37.82,8157.5
14,-122.743,-240.897,52.64,8160,-37.4712,71.5464,-3.33142,1,0,0,5,4,-89.522,-123.217,37.82,8160
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,0,4,-88.7291,-122.125,37.82,8160
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,1,4,-38.2517,-117.727,38.01,8160
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,2,4,-130.312,-255.752,36.8347,8157.5
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,3,4,-87.6123,-120.588,37.82,8157.5
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,4,4,-57.7499,-113.34,37.82,8160
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,5,4,-18.859,-119.071,38.58,8160
15,-88.7291,-122.125,37.82,8160,75.0625,29.4125,-0.29819,1,0,0,6,4,7.91677e-15,-129.295,38.96,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,0,4,1.43553e-14,-234.447,76.2,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,1,4,-42.3411,-267.331,78.29,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,2,4,-43.2423,-133.086,66.13,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,3,4,-22.5862,-142.603,68.6,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,4,4,1.02668e-14,-167.675,71.26,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,5,4,-85.5436,-263.276,78.29,8160
16,1.43553e-14,-234.447,76.2,8160,-30.687,-54.3577,-2.37021,1,0,0,6,4,-118.689,-232.94,79.05,8165
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,0,4,-69.3615,-136.13,69.55,8165
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,1,4,-44.5927,-137.242,70.31,8165
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,2,4,-23.2579,-146.845,71.45,8165
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,3,4,1.47159e-14,-240.337,76.2,8162.5
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,4,4,-42.3411,-267.331,78.86,8162.5
17,-69.3615,-136.13,69.55,8165,57.023,8.59949,-1.75655,1,0,0,5,4,-84.6353,-260.481,78.29,8162.5
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,0,4,-73.2763,-143.813,78.1,8165
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,1,4,-44.5927,-137.242,77.15,8165
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,2,4,-22.5862,-142.603,76.2,8162.5
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,3,4,1.46402e-14,-239.1,76.2,8162.5
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,4,4,-42.6808,-269.476,78.29,8162.5
18,-73.2763,-143.813,78.1,8165,44.9881,23.8812,1.62546,1,0,0,5,4,-86.1308,-265.083,78.29,8162.5
